,area,area_name,country_name,latitude,longitude,upper,work_situation
2,B,Birmingham,,52.4651,-1.88864,BIRMINGHAM,2
11,BS,Bristol,,51.4489,-2.62239,BRISTOL,1
19,CR,Croydon,,51.356,-0.103301,CROYDON,2
25,DE,Derby,,52.9331,-1.49146,DERBY,1
32,E,East London,,51.5434,-0.0158165,EAST LONDON,1
36,EX,Exeter,,50.8269,-3.65629,EXETER,1
52,IV,Inverness,,57.5864,-4.118130000000002,INVERNESS,1
57,L,Liverpool,,53.4158,-2.96295,LIVERPOOL,1
60,LE,Leicester,,52.6442,-1.14855,LEICESTER,14
61,LL,Llandudno,,53.1333,-3.71608,LLANDUDNO,1
69,N,North London,,51.5853,-0.114104,NORTH LONDON,1
75,NW,North West London,,51.5548,-0.196886,NORTH WEST LONDON,1
77,OX,Oxford,,51.7957,-1.2906,OXFORD,4
84,RG,Reading,,51.4046,-1.02767,READING,1
86,RM,Romford,,51.5469,0.217288,ROMFORD,1
87,S,Sheffield,,53.394,-1.41222,SHEFFIELD,1
89,SE,South East London,,51.4669,-0.0358059,SOUTH EAST LONDON,1
92,SL,Slough,,51.5153,-0.6421819999999999,SLOUGH,3
100,SW,South West London,,51.4641,-0.167506,SOUTH WEST LONDON,2
110,UB,Southall,,51.5277,-0.417164,SOUTHALL,1
114,WD,Watford,,51.6586,-0.393765,WATFORD,1
119,WV,Wolverhampton,,52.5808,-2.16227,WOLVERHAMPTON,1
35,CANADA,Canada,CANADA,56.130366,-106.34677099999999,,2
55,DENMARK,Denmark,DENMARK,56.26392,9.501785,,1
174,POLAND,Poland,POLAND,51.919438,19.145135999999997,,1
